operator_id,incoming_calls,missed_calls,wait_seconds,missed_rate,avg_wait_sec,outgoing_calls,tariff_plan,high_missed_rate,high_wait,low_outbound,incoming_risk
899082,655.0,0.0,13463.0,0.0,20.554198473282444,1511.0,C,False,False,False,False
899250,286.0,4.0,4577.0,0.013986013986013986,16.003496503496503,1374.0,C,True,False,False,False
899268,31.0,2.0,644.0,0.06451612903225806,20.774193548387096,0.0,B,True,False,True,False
899788,0.0,0.0,0.0,0.0,0.0,603.0,C,False,False,False,False
899790,0.0,0.0,0.0,0.0,0.0,716.0,C,False,False,False,False
899892,3.0,0.0,95.0,0.0,31.666666666666668,0.0,B,False,True,True,False
899898,2.0,0.0,50.0,0.0,25.0,0.0,B,False,True,True,False
899900,2.0,0.0,116.0,0.0,58.0,0.0,B,False,True,True,False
899906,1.0,0.0,19.0,0.0,19.0,0.0,B,False,False,True,False
899912,1.0,0.0,19.0,0.0,19.0,0.0,B,False,False,True,False
899932,0.0,0.0,0.0,0.0,0.0,711.0,C,False,False,False,False
899964,0.0,0.0,0.0,0.0,0.0,418.0,C,False,False,False,False
899968,0.0,0.0,0.0,0.0,0.0,364.0,C,False,False,False,False
899972,0.0,0.0,0.0,0.0,0.0,191.0,C,False,False,False,False
900180,9.0,0.0,72.0,0.0,8.0,1682.0,C,False,False,False,False
900192,1.0,0.0,5.0,0.0,5.0,1.0,B,False,False,True,False
900194,55.0,2.0,1179.0,0.03636363636363636,21.436363636363637,43.0,B,True,True,True,True
900352,183.0,0.0,3147.0,0.0,17.19672131147541,307.0,C,False,False,False,False
900354,142.0,1.0,2420.0,0.007042253521126761,17.04225352112676,477.0,C,True,False,False,False
900458,1.0,0.0,9.0,0.0,9.0,28.0,C,False,False,True,False
900492,17.0,1.0,255.0,0.058823529411764705,15.0,234.0,B,True,False,False,False
900592,265.0,0.0,1794.0,0.0,6.769811320754717,109.0,B,False,False,False,False
900594,34.0,0.0,365.0,0.0,10.735294117647058,201.0,C,False,False,False,False
900614,22.0,0.0,215.0,0.0,9.772727272727273,34.0,B,False,False,True,False
900742,22.0,0.0,283.0,0.0,12.863636363636363,16.0,C,False,False,True,False
900746,26.0,1.0,611.0,0.038461538461538464,23.5,49.0,C,True,True,True,True
900788,124.0,1.0,801.0,0.008064516129032258,6.459677419354839,92.0,B,True,False,False,False
900790,44.0,0.0,371.0,0.0,8.431818181818182,55.0,B,False,False,True,False
900792,1.0,0.0,34.0,0.0,34.0,7.0,B,False,True,True,False
900826,86.0,0.0,906.0,0.0,10.534883720930232,510.0,B,False,False,False,False
900892,329.0,3.0,2233.0,0.00911854103343465,6.787234042553192,933.0,B,True,False,False,False
900894,110.0,1.0,1317.0,0.00909090909090909,11.972727272727273,218.0,B,True,False,False,False
901034,13.0,0.0,159.0,0.0,12.23076923076923,12.0,B,False,False,True,False
901038,5.0,0.0,114.0,0.0,22.8,33.0,B,False,True,True,False
901178,288.0,0.0,2563.0,0.0,8.899305555555555,25.0,C,False,False,True,False
901350,92.0,0.0,2343.0,0.0,25.467391304347824,0.0,C,False,True,True,False
901492,30.0,0.0,725.0,0.0,24.166666666666668,3.0,C,False,True,True,False
901498,5.0,0.0,265.0,0.0,53.0,0.0,C,False,True,True,False
901584,104.0,0.0,609.0,0.0,5.855769230769231,172.0,C,False,False,False,False
901586,41.0,0.0,314.0,0.0,7.658536585365853,94.0,C,False,False,False,False
901588,27.0,0.0,166.0,0.0,6.148148148148148,55.0,C,False,False,True,False
901734,28.0,0.0,393.0,0.0,14.035714285714286,0.0,C,False,False,True,False
901880,1825.0,11.0,9568.0,0.006027397260273973,5.242739726027398,2362.0,C,False,False,False,False
901884,566.0,0.0,7676.0,0.0,13.56183745583039,2024.0,C,False,False,False,False
901886,143.0,0.0,2711.0,0.0,18.958041958041957,1416.0,C,False,False,False,False
901894,30.0,0.0,742.0,0.0,24.733333333333334,0.0,C,False,True,True,False
901992,11.0,0.0,91.0,0.0,8.272727272727273,671.0,B,False,False,False,False
901996,3.0,0.0,43.0,0.0,14.333333333333334,26.0,B,False,False,True,False
902238,1.0,0.0,8.0,0.0,8.0,1.0,C,False,False,True,False
902510,122.0,2.0,4107.0,0.01639344262295082,33.66393442622951,1842.0,B,True,True,False,True
902532,239.0,1.0,4070.0,0.0041841004184100415,17.02928870292887,867.0,B,False,False,False,False
902608,13.0,0.0,137.0,0.0,10.538461538461538,219.0,B,False,False,False,False
902720,99.0,0.0,1563.0,0.0,15.787878787878787,2320.0,B,False,False,False,False
902742,0.0,0.0,0.0,0.0,0.0,1173.0,C,False,False,False,False
902744,0.0,0.0,0.0,0.0,0.0,3149.0,C,False,False,False,False
902746,0.0,0.0,0.0,0.0,0.0,2452.0,C,False,False,False,False
902748,0.0,0.0,0.0,0.0,0.0,2542.0,C,False,False,False,False
902774,0.0,0.0,0.0,0.0,0.0,1109.0,C,False,False,False,False
902776,0.0,0.0,0.0,0.0,0.0,1581.0,C,False,False,False,False
902778,0.0,0.0,0.0,0.0,0.0,1300.0,C,False,False,False,False
902782,0.0,0.0,0.0,0.0,0.0,1302.0,C,False,False,False,False
902906,48.0,0.0,828.0,0.0,17.25,0.0,C,False,False,True,False
902910,28.0,1.0,736.0,0.03571428571428571,26.285714285714285,0.0,C,True,True,True,True
903254,243.0,0.0,4134.0,0.0,17.012345679012345,1465.0,C,False,False,False,False
903292,42.0,0.0,589.0,0.0,14.023809523809524,301.0,C,False,False,False,False
903312,127.0,1.0,2229.0,0.007874015748031496,17.551181102362204,53.0,C,True,False,True,False
903318,281.0,0.0,2573.0,0.0,9.15658362989324,1178.0,C,False,False,False,False
903390,9.0,0.0,142.0,0.0,15.777777777777779,0.0,C,False,False,True,False
903512,28.0,0.0,1190.0,0.0,42.5,0.0,A,False,True,True,False
903974,10.0,0.0,167.0,0.0,16.7,0.0,C,False,False,True,False
903976,5.0,0.0,42.0,0.0,8.4,0.0,C,False,False,True,False
903978,4.0,0.0,38.0,0.0,9.5,6.0,C,False,False,True,False
904014,41.0,0.0,506.0,0.0,12.341463414634147,1249.0,C,False,False,False,False
904016,50.0,2.0,926.0,0.04,18.52,4681.0,C,True,False,False,False
904038,462.0,2.0,4107.0,0.004329004329004329,8.88961038961039,215.0,C,False,False,False,False
904044,108.0,0.0,1968.0,0.0,18.22222222222222,23.0,C,False,False,True,False
904058,19.0,0.0,311.0,0.0,16.36842105263158,0.0,C,False,False,True,False
904200,7.0,0.0,146.0,0.0,20.857142857142858,10.0,B,False,True,True,False
904202,7.0,0.0,81.0,0.0,11.571428571428571,233.0,B,False,False,False,False
904204,5.0,0.0,161.0,0.0,32.2,54.0,B,False,True,True,False
904284,47.0,0.0,728.0,0.0,15.48936170212766,0.0,C,False,False,True,False
904344,4.0,0.0,55.0,0.0,13.75,5.0,B,False,False,True,False
904372,3.0,0.0,68.0,0.0,22.666666666666668,0.0,B,False,True,True,False
905082,2.0,0.0,34.0,0.0,17.0,0.0,C,False,False,True,False
905104,296.0,1.0,5111.0,0.0033783783783783786,17.26689189189189,187.0,B,False,False,False,False
905300,25.0,6.0,552.0,0.24,22.08,0.0,C,True,True,True,True
905308,0.0,0.0,0.0,0.0,0.0,3.0,B,False,False,True,False
905430,96.0,1.0,666.0,0.010416666666666666,6.9375,751.0,C,True,False,False,False
905432,12.0,0.0,64.0,0.0,5.333333333333333,726.0,C,False,False,False,False
905470,0.0,0.0,0.0,0.0,0.0,3.0,B,False,False,True,False
905472,1.0,0.0,21.0,0.0,21.0,9.0,B,False,True,True,False
905478,1.0,0.0,36.0,0.0,36.0,0.0,B,False,True,True,False
905480,0.0,0.0,0.0,0.0,0.0,1.0,B,False,False,True,False
905538,244.0,0.0,4294.0,0.0,17.598360655737704,3169.0,C,False,False,False,False
905542,117.0,0.0,2155.0,0.0,18.418803418803417,1985.0,C,False,False,False,False
905564,57.0,0.0,1409.0,0.0,24.719298245614034,694.0,C,False,True,False,False
905566,44.0,0.0,715.0,0.0,16.25,861.0,C,False,False,False,False
905570,0.0,0.0,0.0,0.0,0.0,96.0,C,False,False,False,False
905574,4.0,0.0,42.0,0.0,10.5,428.0,C,False,False,False,False
905840,0.0,0.0,0.0,0.0,0.0,7.0,B,False,False,True,False
905842,2.0,0.0,231.0,0.0,115.5,1031.0,B,False,True,False,False
